Artist,Instruments,First Year Active,Last Year Active,Genres,Labels,Listeners on LastFM,Listeners on spotify,Most popular song listenings on Spotify,Scrobbles,Deezer fans number,Latest Release,Born,Died,Last FM,Wiki,Deezer,Spotify
Stan Kenton Orchestra,Piano,1930,1978,"Progressive jazz, West Coast jazz, swing, orchestral jazz, [1]","Capitol, Decca",1754,430,2514,6111,306,Concert Impressions,15 December 1911,25 August 1979,https://www.last.fm/music/Stan+Kenton+Orchestra,https://en.wikipedia.org/wiki/Stan_Kenton_Orchestra,https://www.deezer.com/us/artist/111220,https://open.spotify.com/artist/1Tn3LCSkrG0C20MFPyIqDK
Erroll Garner,Piano,1944,1974,Jazz,"Mercury, Columbia, Verve, Blue Note, London, Savoy, Mack Avenue, EmArcy",201300,619528,4039102,1800000,15776,Endless Sky,15 June 1921,7 January 1977,https://www.last.fm/music/Erroll+Garner,https://en.wikipedia.org/wiki/Erroll_Garner,https://www.deezer.com/us/artist/16500,https://open.spotify.com/artist/6C65D20ASusYqHGSIktfED
Hank Jones,Piano,1944,2010,Jazz,"Verve, Savoy, Epic, Capitol, Argo, Impulse, Concord, Chesky, Sony",81500,258031,8278941,523299,20136,Sleepless Times,31 July 1918,16 May 2010,https://www.last.fm/music/Hank+Jones,https://en.wikipedia.org/wiki/Hank_Jones,https://www.deezer.com/us/artist/58327,https://open.spotify.com/artist/0BhFfJmScFj7OzqVaDqnSv
Oscar Peterson,Piano,1945,2007,"Jazz, classical","RCA Victor, Mercury, MPS, Pablo, Telarc, Verve",432400,1989551,1438058,5300000,117705,I Like My Morning Jacket,15 August 1925,23 December 2007,https://www.last.fm/music/Oscar+Peterson,https://en.wikipedia.org/wiki/Oscar_Peterson,https://www.deezer.com/us/artist/9123,https://open.spotify.com/artist/6zkX5fhrSD4tdVOmimR9wB
Horace Silver,Piano,1946,2004,"Jazz, hard bop, mainstream jazz, soul jazz, jazz fusion","Blue Note, Columbia, Impulse!, Verve",363100,582004,21554651,3000000,33056,Revolver Hits,2 September 1928,18 June 2014,https://www.last.fm/music/Horace+Silver,https://en.wikipedia.org/wiki/Horace_Silver,https://www.deezer.com/us/artist/3963,https://open.spotify.com/artist/5ZATfKurLqflrBhv2FLht5
Francy Boland,,,,,,3190,1076,116038,12300,91,"Playing With the Trio (feat. Kenny Clarke, Jimmy Woode)",6 November 1929,14 August 2005,https://www.last.fm/music/Francy+Boland,https://en.wikipedia.org/wiki/Francy_Boland,https://www.deezer.com/us/artist/74350,https://open.spotify.com/artist/1mavRaFvDnIEm1IWWLxoVO
Joe Zawinul,Keyboards,1949,2007,"Jazz, jazz fusion, world",Columbia,51000,32535,181527,384500,12395,Moonlight in Vermont,7 July 1932,11 September 2007,https://www.last.fm/music/Joe+Zawinul,https://en.wikipedia.org/wiki/Joe_Zawinul,https://www.deezer.com/us/artist/64415,https://open.spotify.com/artist/3DkK9XA1CI1i7U7ovpAo1G
Harold Mabern,Piano,1950s,2019,"Jazz, soul jazz","Sackville, Prestige, DIW, Smoke Sessions",6869,7969,68132,43900,309,Mabern Plays Mabern,20 March 1936,17 September 2019,https://www.last.fm/music/Harold+Mabern,https://en.wikipedia.org/wiki/Harold_Mabern,https://www.deezer.com/us/artist/91797,https://open.spotify.com/artist/0CHdvqcELhkUJEsftEZ965
Barry Harris,Piano,1950s,present,Jazz,"Prestige, Riverside, Xanadu",40500,269961,20553845,248900,720,Anthropology / Mucho Dinero,15 December 1929,,https://www.last.fm/music/Barry+Harris,https://en.wikipedia.org/wiki/Barry_Harris,https://www.deezer.com/us/artist/76027,https://open.spotify.com/artist/0v4es8yvR06oDJWG57Fxi8
Bill Evans,Piano,1950s,1980,"Jazz, modal jazz, third stream, cool jazz, post-bop","Riverside, Verve, Fantasy",688600,1773442,41488926,14200000,198694,Some Day My Prince Will Come,2 September 1956 ,,https://www.last.fm/music/Bill+Evans,https://en.wikipedia.org/wiki/Bill_Evans,https://www.deezer.com/us/artist/2060,https://open.spotify.com/artist/4jXfFzeP66Zy67HM2mvIIF
